plr_type,plr_median,plr_confidence_low,plr_confidence_high,length_years_rounded,power_dc,pv_climate_zone,technology1,technology2,type_mounting,tracking
nsrdb,-1.44,-2.16,-0.6,3,< 0.5 MW,T4,mono-Si,n-IBC,Roof,FALSE
sensor,-0.05,-1.76,1.38,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.24,-1.39,0.67,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.01,-0.95,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.11,-1.31,0.77,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.37,-1.52,0.49,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.12,-1.14,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.28,-1.32,0.92,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.15,-1.21,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.03,-1.16,0.74,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.13,-1.04,0.84,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.15,-1.06,0.8,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.32,-1.07,0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.29,-1.15,0.86,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.08,-0.93,0.96,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.04,-1.11,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.05,-1.11,0.99,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.24,-1.37,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.08,-1.22,0.99,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.14,-0.86,1.05,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.19,-1.37,0.82,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.01,-1.04,0.65,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.14,-1.27,0.84,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.11,-1.01,0.9,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.3,-1.39,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.12,-0.91,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.09,-1.08,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.21,-1.36,0.83,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.12,-1.2,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.45,-1.57,0.45,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.07,-1.1,0.82,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.05,-1.11,0.97,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.41,-1.33,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.36,-1.88,2.1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.16,-1.21,0.93,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.06,-1,1.06,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.31,-0.58,1.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.18,-1.43,0.71,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.07,-0.95,0.67,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.33,-1.16,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.09,-1.36,0.86,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.34,-1.42,0.68,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.33,-1.19,0.52,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.25,-1.14,0.57,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.37,-1.41,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.81,-1.67,0.26,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.17,-1.26,0.81,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.06,-1.36,0.83,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.18,-1.37,0.66,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.08,-1.14,1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.01,-0.96,0.87,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.1,-1.12,0.85,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.16,-1.27,0.97,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.41,-1.33,0.57,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.16,-1.41,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.02,-1.06,0.74,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.29,-1.27,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.15,-1.28,0.96,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.21,-1.21,0.69,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.08,-1.28,0.72,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.2,-1.11,0.86,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.09,-2.37,0.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.71,-1.4,-0.11,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.41,-2.44,0.02,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.75,-1.47,0.15,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.28,-1.24,0.92,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.91,-1.92,0.12,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.03,-2.02,-0.26,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.36,-1.44,0.39,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.74,-1.51,0.29,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.46,-1,0.67,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.74,-1.5,0.24,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.25,-1.3,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.53,-1.34,0.41,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.43,-1.5,0.55,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.07,-1.12,1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.68,-1.45,0.18,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.72,-1.56,0.22,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.01,-1.27,0.79,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.3,-1.41,0.65,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.48,-1.48,0.49,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.09,-1.62,-0.08,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.02,-1.73,-0.2,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.7,-1.74,0.27,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.84,-1.78,-0.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.2,-1.08,0.78,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.22,-1.35,0.61,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.52,-1.47,0.39,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.24,-1.41,0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.38,-1.64,0.53,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.92,-1.57,0.04,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.85,-1.56,-0.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.12,-1.2,0.91,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.74,-1.53,-0.02,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.81,-1.53,-0.11,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.4,-1.67,0.21,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.02,-2.13,0.36,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.79,-1.69,0.16,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.46,-1.25,0.55,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.87,-1.93,0.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.86,-2.29,0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1,-2.24,0.36,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.41,-2.57,-0.02,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.07,-1.21,0.96,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.25,-2.39,0.32,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.04,-2.22,0.28,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.93,-2.06,0.13,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.28,-2.45,0.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1,-2.35,0.22,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.93,-2.21,0.52,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.95,-2.37,0.5,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.95,-2.55,0.27,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.53,-1.6,0.77,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.57,-1.85,0.73,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.18,-1.15,1,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.13,-2.26,0.28,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.88,-1.5,0.18,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.41,-2.15,-0.74,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.82,-1.5,0.08,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.71,-1.41,0.4,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.29,-1.28,0.59,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.31,-1.26,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.88,-1.67,-0.03,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.55,-1.4,0.19,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.93,-1.78,-0.05,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,0.35,-1.17,1.48,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.77,-1.52,0.45,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.69,-1.7,0.25,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.6,-1.35,0.42,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.65,-1.76,0.11,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.8,-1.59,0.13,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.65,-2.17,0.35,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.17,-1.28,0.7,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-2.9,-4.23,-1.3,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.51,-1.32,0.49,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.36,-1.5,0.34,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.33,-1.65,0.79,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.1,-1.34,1.01,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.39,-1.42,0.54,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.41,-2.39,-0.06,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.71,-1.86,0.43,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.78,-1.86,0.51,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.4,-1.53,0.26,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.43,-1.62,0.51,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.45,-1.32,0.57,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.2,-1.45,0.4,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.55,-1.99,0.35,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.56,-1.74,0.31,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.08,-2.48,0.28,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.22,-1.25,0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.48,-1.56,0.45,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.31,-1.39,0.49,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.83,-1.88,0.16,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.26,-1.21,0.94,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.54,-1.87,0.23,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.72,-1.62,0.33,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-0.47,-1.39,0.43,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
sensor,-1.51,-2.7,-0.58,3,> 2 MW,T3,multi-Si,Al-BSF,Ground,FALSE
clearsky,-0.5,-0.84,-0.04,10,< 0.5 MW,T5,multi-Si,Al-BSF,Roof,FALSE
sensor,0.15,-0.33,0.61,5,> 2 MW,T4,mono-Si,Al-BSF,Ground,FALSE
sensor,-0.16,-0.49,0.22,5,> 2 MW,T4,mono-Si,Al-BSF,Ground,FALSE
sensor,0.34,-0.1,0.66,5,> 2 MW,T4,mono-Si,Al-BSF,Ground,FALSE
sensor,0.74,0.34,1.04,5,> 2 MW,T4,mono-Si,Al-BSF,Ground,FALSE
sensor,-0.17,-0.47,0.09,5,> 2 MW,T4,mono-Si,Al-BSF,Ground,FALSE
sensor,-0.95,-1.09,-0.8,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.88,-1.07,-0.7,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.95,-1.12,-0.81,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.78,-0.99,-0.58,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.53,-0.67,-0.36,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.87,-1.04,-0.69,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.79,-0.96,-0.59,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.74,-0.94,-0.57,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.62,-0.75,-0.51,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.98,-1.12,-0.8,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.43,-0.58,-0.23,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.62,-0.76,-0.51,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.79,-0.99,-0.65,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
sensor,-0.86,-0.98,-0.66,>4,> 2 MW,T4,CdTe,CdTe,Ground,FALSE
