..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_10.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=10/system_1307__date_2013_12_10.snappy.000.parquet,1771377308.655442
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_11.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=11/system_1307__date_2013_12_11.snappy.000.parquet,1771377308.8944533
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_12.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=12/system_1307__date_2013_12_12.snappy.000.parquet,1771377309.1250312
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_13.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=13/system_1307__date_2013_12_13.snappy.000.parquet,1771377309.3888688
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_14.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=14/system_1307__date_2013_12_14.snappy.000.parquet,1771377309.640797
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_15.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=15/system_1307__date_2013_12_15.snappy.000.parquet,1771377309.8667529
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_16.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=16/system_1307__date_2013_12_16.snappy.000.parquet,1771377310.0914586
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_17.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=17/system_1307__date_2013_12_17.snappy.000.parquet,1771377310.3040159
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_18.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=18/system_1307__date_2013_12_18.snappy.000.parquet,1771377310.5510693
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_19.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=19/system_1307__date_2013_12_19.snappy.000.parquet,1771377310.7766976
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_20.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=20/system_1307__date_2013_12_20.snappy.000.parquet,1771377310.9807298
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_21.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=21/system_1307__date_2013_12_21.snappy.000.parquet,1771377311.208241
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_22.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=22/system_1307__date_2013_12_22.snappy.000.parquet,1771377311.4833307
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_23.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=23/system_1307__date_2013_12_23.snappy.000.parquet,1771377311.7093356
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_12_24.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=12/day=24/system_1307__date_2013_12_24.snappy.000.parquet,1771377311.9198568
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_16.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=16/system_1307__date_2013_02_16.snappy.000.parquet,1771377312.1548014
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_17.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=17/system_1307__date_2013_02_17.snappy.000.parquet,1771377312.4188094
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_18.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=18/system_1307__date_2013_02_18.snappy.000.parquet,1771377312.6409376
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_19.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=19/system_1307__date_2013_02_19.snappy.000.parquet,1771377312.8447125
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_20.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=20/system_1307__date_2013_02_20.snappy.000.parquet,1771377313.0719323
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_21.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=21/system_1307__date_2013_02_21.snappy.000.parquet,1771377313.2930634
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_22.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=22/system_1307__date_2013_02_22.snappy.000.parquet,1771377313.5139546
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_23.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=23/system_1307__date_2013_02_23.snappy.000.parquet,1771377313.7327657
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_24.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=24/system_1307__date_2013_02_24.snappy.000.parquet,1771377314.0061553
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_25.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=25/system_1307__date_2013_02_25.snappy.000.parquet,1771377314.216063
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_26.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=26/system_1307__date_2013_02_26.snappy.000.parquet,1771377314.467527
